,Event label,Sample code/label,Sample ID,Date/Time of event,Latitude of event,Longitude of event,"DEPTH, water [m]",Method/Device of event,Area/locality,"Geology, comment","Accession number, genetics","Accession number, genetics","Accession number, genetics","Accession number, genetics",Measurement conducted,Measurement conducted,Measurement conducted,Bacteria [#/ml],Phytoplankton [#/l],Elevation [m]
51,SPONGES_0617_42-CTD10,Seawater: SW-00238,SPONGES0617_42-CTD10,2017-01-01,43.9803,-6.4737,1522,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Avil_s Canyon (MRGID: 36126),canyon,insdc:SRR11568793,,,,,,,36407.0,68000.0,-1522.0
52,SPONGES_0617_42-CTD10,Seawater: SW-00239,SPONGES0617_42-CTD10,2017-01-01,43.9803,-6.4737,1522,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Avil_s Canyon (MRGID: 36126),canyon,insdc:SRR11568792,,,,,,,67556.0,140000.0,-1522.0
53,SPONGES_0617_42-CTD10,Seawater: SW-00240,SPONGES0617_42-CTD10,2017-01-01,43.9803,-6.4737,1522,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Avil_s Canyon (MRGID: 36126),canyon,insdc:SRR11568791,,,,,,,67407.0,135000.0,-1522.0
54,SPONGES_0617_42-CTD10,Seawater: SW-00241,SPONGES0617_42-CTD10,2017-01-01,43.9803,-6.4737,1522,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Avil_s Canyon (MRGID: 36126),canyon,insdc:SRR11568790,,,,,,,,,-1522.0
55,SPONGES_0617_46-CTD11,Seawater: SW-00242,SPONGES0617_46-CTD11,2017-01-01,43.9178,-6.2612,1112,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Avil_s Canyon (MRGID: 36126),canyon,insdc:SRR11568789,,,,,,,70259.0,125000.0,-1112.0
56,SPONGES_0617_46-CTD11,Seawater: SW-00243,SPONGES0617_46-CTD11,2017-01-01,43.9178,-6.2612,1112,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Avil_s Canyon (MRGID: 36126),canyon,insdc:SRR11568788,,,,,,,46148.0,133000.0,-1112.0
57,SPONGES_0617_46-CTD11,Seawater: SW-00244,SPONGES0617_46-CTD11,2017-01-01,43.9178,-6.2612,1112,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Avil_s Canyon (MRGID: 36126),canyon,insdc:SRR11568787,,,,,,,80704.0,198000.0,-1112.0
58,SPONGES_0617_49-CTD12,Seawater: SW-00245,SPONGES0617_49-CTD12,2017-01-01,43.8665,-6.1355,303,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Avil_s Canyon (MRGID: 36126),canyon,insdc:SRR11568786,,,,,,,162370.0,320000.0,-303.0
59,SPONGES_0617_49-CTD12,Seawater: SW-00246,SPONGES0617_49-CTD12,2017-01-01,43.8665,-6.1355,303,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Avil_s Canyon (MRGID: 36126),canyon,insdc:SRR11568785,,,,,,,164185.0,368000.0,-303.0
60,SPONGES_0617_49-CTD12,Seawater: SW-00247,SPONGES0617_49-CTD12,2017-01-01,43.8665,-6.1355,303,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Avil_s Canyon (MRGID: 36126),canyon,insdc:SRR11568783,,,,,,,169630.0,320000.0,-303.0
61,SPONGES_0617_55-CTD13,Seawater: SW-00248,SPONGES0617_55-CTD13,2017-01-01,43.9042,-5.84,1190,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Le Danois Bank (MRGID:4719),bank,insdc:SRR11568782,,,,,,,84074.0,138000.0,-1190.0
62,SPONGES_0617_55-CTD13,Seawater: SW-00249,SPONGES0617_55-CTD13,2017-01-01,43.9042,-5.84,1190,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Le Danois Bank (MRGID:4719),bank,insdc:SRR11568781,,,,,,,79037.0,133000.0,-1190.0
63,SPONGES_0617_55-CTD13,Seawater: SW-00250,SPONGES0617_55-CTD13,2017-01-01,43.9042,-5.84,1190,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Le Danois Bank (MRGID:4719),bank,insdc:SRR11568780,,,,,,,85593.0,123000.0,-1190.0
64,SPONGES_0617_58-CTD14,Seawater: SW-00251,SPONGES0617_58-CTD14,2017-01-01,43.9608,-4.954,902,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Le Danois Bank (MRGID:4719),bank,insdc:SRR11568779,,,,,,,92074.0,123000.0,-902.0
65,SPONGES_0617_58-CTD14,Seawater: SW-00252,SPONGES0617_58-CTD14,2017-01-01,43.9608,-4.954,902,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Le Danois Bank (MRGID:4719),bank,insdc:SRR11568778,,,,,,,79704.0,163000.0,-902.0
66,SPONGES_0617_58-CTD14,Seawater: SW-00253,SPONGES0617_58-CTD14,2017-01-01,43.9608,-4.954,902,CTD/Rosette,Cantabrian (MRGID: 3758) Sea / Le Danois Bank (MRGID:4719),bank,insdc:SRR11568777,,,,,,,84704.0,163000.0,-902.0
